Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
radio city music hall,"Informational, Navigational",90500,27,1.10,"Sitelinks, Image, Video, Knowledge panel, Top stories, Related searches, Ads bottom, Ads middle"
rate your music,Navigational,33100,24,0.00,"Sitelinks, Image, Video, Video carousel, Related searches"
breakaway music festival,Navigational,22200,24,0.34,"Sitelinks, Video, Video carousel, Discussions and forums, Related searches, See results about"
music boxing machine,"Informational, Commercial",22200,29,0.32,"Sitelinks, Image, Video, Video carousel, Short videos, People also ask, Related searches, Popular products, Things to know"
riverbend music center,Navigational,22200,22,0.27,"Sitelinks, Image, Image pack, Video, Knowledge panel, Related searches"
spotify music festival,Informational,22200,23,1.51,"Sitelinks, Image, Image pack, Video, Discussions and forums, Related searches"
cmt music awards canceled,Informational,18100,25,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
smart music,"Navigational, Transactional",18100,23,0.10,"Sitelinks, Video, Video carousel, Related searches"
tickets ultra music festival miami,Informational,18100,21,0.61,"Sitelinks, Image pack, Video, People also ask, Discussions and forums, Related searches, See results about, Ads bottom"
end of music festivals 2024 npr,"Informational, Transactional",14800,28,0.00,"AI Overview, Video, People also ask, Related searches"
graduation video music ideas,Informational,14800,28,0.03,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches"
music groups of the 1980s,"Informational, Transactional",14800,19,0.25,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Carousel, Discussions and forums, Related searches"
play that funky music,"Informational, Transactional",14800,26,0.93,"Image, Video, Video carousel, Short videos, Related searches, See results about"
apple music vs spotify,Commercial,12100,26,1.68,"Sitelinks, Video, Related searches"
barefoot country music fest,Navigational,12100,26,0.62,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches, See results about, Ads top"
bonnaroo music festival,Informational,12100,25,0.00,"Sitelinks, Instant answer, Image, Image pack, Video, Video carousel, Knowledge panel, Top stories, Discussions and forums, Related searches"
fur elise sheet music,"Informational, Transactional",12100,26,0.99,"Sitelinks, Image, Video, Video carousel, Knowledge panel, Related searches"
music league,Navigational,12100,29,0.00,"Sitelinks, Image, Video, Video carousel, Related searches"
music soulmate,"Informational, Transactional",12100,28,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches"
music stand,"Informational, Transactional",12100,24,0.44,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products, Things to know"
pine knob music theatre,"Navigational, Commercial",12100,17,0.21,"Sitelinks, Image, Image pack, Video, Video carousel, Local pack, Related searches, Ads bottom"
relaxing music for sleep,"Informational, Transactional",12100,28,0.19,"Image, Image pack, Video, People also ask, Carousel, Discussions and forums, Related searches"
snl tonight musical guest,Informational,12100,24,0.00,"Image, Image pack, Video, Video carousel, People also ask, Top stories, Related searches"
42nd musical,Informational,9900,29,1.61,"Sitelinks, Image, Video, Video carousel, People also ask, Knowledge panel, Related searches, Things to know"
all musically,"Informational, Commercial",9900,25,0.36,"Image, Image pack, Video, Video carousel, People also ask, Related searches"
bottlerock music fest,Navigational,9900,20,0.69,"Sitelinks, Image pack, Video, Video carousel, Related searches"
clair de lune sheet music,"Informational, Transactional",9900,27,0.98,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches, Ads bottom"
gospel music songs,Informational,9900,29,1.60,"Sitelinks, Video, Video carousel, Carousel, Discussions and forums, Related searches"
groton hill music center,Navigational,9900,26,0.30,"Sitelinks, Image, Image pack, Video, People also ask, Knowledge panel, Related searches"
live music tonight,Commercial,9900,24,0.59,"Video, Local pack, Related searches"
moonlight sonata sheet music,"Informational, Transactional",9900,28,1.36,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches"
music box theater chicago,Navigational,9900,26,0.84,"Sitelinks, Image, Video, Knowledge panel, Related searches"
music style of,Informational,9900,23,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Carousel, Related searches"
