Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
quadrants on a graph,Informational,18100,18,2.57,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches"
graph each function identify the domain and range,Informational,8100,26,1.66,"AI Overview, Video, Video carousel, Short videos, Related searches, Questions and answers"
l associated graphs,Informational,8100,25,0.00,"Image, Image pack, Video, Video carousel, People also ask, Related searches"
1/x graph,Informational,6600,29,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches"
find the slope of the line graphed below aleks,"Informational, Transactional",6600,22,0.00,"AI Overview, Image, Video, People also ask, Questions and answers"
graph of sexual response cycle,Informational,6600,25,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
loanable funds graph,Informational,6600,24,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches"
the circle graph above gives the distribution of salad dressing,Informational,6600,12,0.00,"AI Overview, Image pack, Related searches, Questions and answers"
the graph of the relation s is shown below,Informational,6600,15,0.00,"AI Overview, Image, Video"
which of the following has the least steep graph,Informational,6600,17,0.00,"Sitelinks, AI Overview, Video, Related searches, Questions and answers"
domain and range of a graph,Informational,5400,23,2.00,"AI Overview, Image, Video, Video carousel, People also ask, Related searches"
graph behavior review practice,Commercial,5400,16,0.00,"AI Overview, Video, Related searches"
graph paper notebook,"Informational, Transactional",5400,14,0.36,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
oxygen dissociation graph,"Informational, Transactional",5400,29,0.00,"Image, Image pack, Video, Video carousel, Related searches"
pareto graph,Informational,5400,24,1.60,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Knowledge panel, Related searches, Things to know"
segmented bar graph,Informational,5400,25,0.00,"AI Overview, Image, Video, Video carousel, Related searches"
