Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
mla format heading,Informational,49500,"0.67,1.00,0.24,0.45,0.55,0.24,0.55,0.30,0.13,0.16,0.30,0.55",25,4.10,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches",10
mla format essay,Informational,22200,"0.81,0.67,0.54,0.36,0.54,0.81,0.81,1.00,0.30,0.30,0.44,0.81",28,4.12,0.01,"AI Overview, Image, Image pack, Video, People also ask, Related searches",10
mla format header,Informational,22200,"0.82,1.00,0.67,0.82,1.00,1.00,0.55,0.67,0.12,0.15,0.30,0.67",26,4.10,0.00,"Image, Image pack, Video, Video carousel, People also ask, Related searches",12200000
apa format title page,Informational,14800,"1.00,0.67,0.83,0.44,0.67,0.67,0.83,0.44,0.36,0.30,0.30,0.67",18,1.92,0.00,"Sitelinks, Image pack, Video, Video carousel, Related searches",
mla header format,Informational,14800,"0.81,0.66,1.00,0.44,0.66,0.44,0.54,0.36,0.24,0.08,0.24,0.44",26,6.79,0.00,"Image, Image pack, Video, Video carousel, People also ask, Related searches",10
formation medicale continue,Informational,12100,"0.00,0.00,0.01,0.00,1.00,0.66,0.81,0.44,0.20,0.00,0.03,0.36",26,2.80,0.00,"Sitelinks, Video, Video carousel, Knowledge panel, Related searches",66300000
csv comma delimited file format,Informational,9900,"0.00,0.01,0.04,0.00,1.00,1.00,0.81,0.81,0.44,0.00,0.00,0.00",28,1.63,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel, Related searches, Things to know",2480000
format of itinerary of travel,"Informational, Commercial",9900,"0.07,0.01,0.04,0.00,1.00,1.00,0.81,0.81,0.44,0.00,0.05,0.36",20,1.00,0.63,"Sitelinks, Image, Image pack, Video, Related searches, Ads bottom",9
how to format sd card,Informational,9900,"0.81,1.00,1.00,1.00,0.81,0.81,0.81,0.81,0.66,0.81,0.81,0.66",29,0.05,0.02,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",181000000
mla heading format,Informational,9900,"1.00,0.44,0.50,0.38,0.50,0.38,0.50,0.38,0.19,0.06,0.19,0.50",26,6.79,0.00,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches",10
mla paper format,Informational,9900,"1.00,0.66,0.66,0.36,0.44,0.54,0.54,0.36,0.19,0.13,0.19,0.54",25,3.13,0.00,"Image, Image pack, Video, Video carousel, Related searches",10
certificat formation generale,"Informational, Transactional",8100,"1.00,1.00,0.66,0.66,0.66,0.81,0.66,0.81,0.36,0.00,0.03,0.23",14,5.49,0.03,"AI Overview, Image pack, Video, People also ask, Related searches",79900000
common communication format,Informational,8100,"0.08,0.02,0.05,0.00,0.81,0.81,1.00,0.54,0.54,0.00,0.05,0.44",14,5.35,0.01,"AI Overview, Video, Video carousel, People also ask, Related searches",577000000
multi format codec,Informational,8100,"0.10,0.02,0.06,0.00,1.00,1.00,1.00,0.67,0.67,0.00,0.09,0.54",20,3.70,0.02,"Sitelinks, AI Overview, Video, People also ask, Related searches",6730000
ama format,Informational,6600,"1.00,0.66,0.54,0.54,0.81,0.54,0.66,0.44,0.54,0.44,0.54,0.81",22,4.41,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches, Things to know",161000000
protocole individuel de formation,Informational,6600,"0.00,0.00,0.07,0.01,0.81,1.00,0.81,0.66,0.81,0.00,0.02,0.54",7,3.81,0.10,"AI Overview, People also ask, Related searches",5830000
annotated bibliography apa format,Informational,5400,"1.00,0.81,0.54,0.36,1.00,0.44,0.23,0.07,0.30,0.15,0.15,0.12",28,2.50,0.01,"AI Overview, Image pack, Video, People also ask, Related searches",1690000
lesson plan format,Informational,5400,"0.67,1.00,0.54,0.67,0.81,0.44,0.54,0.36,0.44,0.36,0.54,0.67",25,0.93,0.95,"AI Overview, Image, Image pack, Video, Video carousel, Related searches",9
mla format heading and header,Informational,5400,"0.13,0.00,0.00,0.00,0.00,0.10,1.00,0.67,0.00,0.00,0.01,0.00",20,6.79,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches",9
what is csv format,Informational,5400,"0.36,0.06,0.44,0.67,1.00,1.00,0.29,0.24,0.44,0.55,0.44,0.67",27,1.02,0.01,"Sitelinks, AI Overview, Video, Related searches",151000000
