Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
icon logo shopee png,Informational,22200,28,0.00,"Image, Image pack, Related searches"
rawlings icon,"Informational, Transactional",22200,29,0.46,"Sitelinks, Image, Image pack, Video, People also ask, Knowledge panel, Related searches, Ads bottom"
icon water slide breaks,"Informational, Transactional",12100,27,0.00,"Sitelinks, Image, Video, Video carousel, Short videos, People also ask, Related searches"
heroes and icons schedule,Navigational,9900,28,0.00,"Sitelinks, Image, Video, People also ask, Related searches"
icon bat,"Informational, Commercial",9900,14,0.30,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products, Things to know"
iconic album covers,Commercial,9900,28,0.00,"Featured snippet, Sitelinks, Image, Video, Video carousel, Knowledge panel, Related searches"
surface uefi hard drive icon,Informational,9900,25,0.00,"Sitelinks, Image, Image pack, Video, Related searches"
fictional sports icon with a statue,Informational,8100,18,0.00,"Image pack, Video, Knowledge panel, Related searches"
heroes and icons,Navigational,8100,27,1.21,"Sitelinks, Image, Video, People also ask, Knowledge panel, Related searches"
icon arrangement android,"Informational, Transactional",8100,24,0.00,"Sitelinks, Video, Video carousel, Short videos, Related searches"
icon helmets,Transactional,8100,10,0.48,"Sitelinks, Image, Video, Video carousel, Related searches, Popular products"
iconic synonym,Informational,8100,27,0.00,"Video, Knowledge panel, Related searches"
fashion icons,Informational,6600,27,1.08,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Things to know"
icon uiowa,Navigational,6600,27,0.00,"Sitelinks, Video, Related searches"
iconic sports retailer closing,Informational,6600,22,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
orthodox icons,Commercial,6600,29,0.36,"Sitelinks, Image, Video, Related searches, Popular products"
samsung galaxy 10 icons,Informational,6600,29,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
error icon,Informational,5400,25,0.00,"Image, Image pack, Video, Video carousel, People also ask, Related searches"
icon conifer,Informational,5400,24,0.00,"Image, Image pack, Related searches"
iconic retail store closure,Informational,5400,21,0.00,"Sitelinks, AI Overview, Video, Top stories, Related searches"
iconic taco restaurant closure,"Informational, Commercial",5400,22,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
meego icon pack apk,"Informational, Commercial",5400,21,0.00,"Image pack, Video, Related searches"
pop icona,"Informational, Transactional",5400,29,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Knowledge panel, Events, Related searches"
surface uefi icons top right,"Informational, Commercial",5400,24,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches"
