Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
free baby samples,Informational,9900,28,1.37,"Sitelinks, AI Overview, Video, Video carousel, Related searches"
sample registration survey,Informational,9900,13,4.08,"Video, People also ask, Related searches"
tuckernuck sample sale,Transactional,9900,20,1.78,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Ads top, Ads bottom"
men's cologne sampler,"Informational, Transactional",8100,22,1.23,"Sitelinks, Image, Image pack, Video, Discussions and forums, Related searches, Popular products"
sample gifted.com,"Informational, Transactional",8100,23,0.00,"Sitelinks, Video, People also ask"
sample obituary,Informational,8100,15,0.27,"AI Overview, Image pack, People also ask, Related searches, Ads bottom, Ads middle"
free sample for newborn,Informational,6600,25,1.37,"Sitelinks, AI Overview, Video, Discussions and forums, Related searches, Ads bottom"
bride vows sample,Informational,5400,18,0.19,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
dichotomous questionnaire sample,Informational,5400,10,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
employment verification letter sample,Informational,5400,25,1.29,"Sitelinks, Image, Image pack, Video, Related searches, Ads bottom"
free perfume samples,"Informational, Transactional",5400,28,1.00,"Sitelinks, Video, People also ask, Related searches"
sample of prepositional phrase,Informational,5400,26,0.04,"AI Overview, Image pack, Video, People also ask, Related searches"
sample permit test ma,"Informational, Transactional",5400,23,0.07,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads bottom"
sample resignation letter envelope,Informational,5400,29,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
serato sample,Navigational,5400,28,1.70,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches"
staud sample sale,Navigational,5400,29,0.67,"Sitelinks, Image, Video, Related searches, Ads bottom"
ulta perfume sampler,"Navigational, Transactional",5400,25,0.49,"Sitelinks, Image, Image pack, Video, Discussions and forums, Related searches, Popular products, Ads top, Ads bottom"
