Keyword,Intent,Volume,Keyword Difficulty,CPC (USD)
alliteration examples,Informational,33100,28,0.01
obituary examples,Informational,14800,12,0.27
personal statement examples,Informational,14800,27,2.28
necrology examples,Informational,12100,17,0.27
email signature examples,Informational,9900,29,2.48
examples of alliteration,Informational,9900,18,0.01
eulogy examples,Informational,8100,21,0.27
examples of figurative language,Informational,8100,24,0.05
resume objective examples,Informational,8100,22,0.78
wedding vows examples,Informational,8100,17,0.20
apa title page example,Informational,6600,15,2.17
argumentative essay examples,Informational,6600,29,0.69
elevator speech examples,Informational,6600,25,1.06
example of a limerick poetry,Informational,6600,29,0.02
example of metaphor,Informational,6600,26,0.03
examples of limerick in poetry,Informational,6600,21,0.02
formative assessment examples,Informational,6600,25,3.46
limerick examples,Informational,6600,28,0.02
press release example,Informational,6600,29,2.70
voided check example,Informational,6600,24,2.08
abstract example,Informational,5400,23,1.59
apa research paper example,Informational,5400,24,1.83
bank statement example,Informational,5400,20,1.15
crm software examples,Informational,5400,27,3.82
example of phrase preposition,Informational,5400,29,0.04
examples of themes,Informational,5400,19,0.01
haiku poem examples,Informational,5400,26,0.03
strengths examples,Informational,5400,28,0.17
vision statement examples,Informational,5400,28,0.28
zine examples,Informational,5400,21,1.90
